username,content,date,reply_usernames,is_relevant,relevance_category,event_type,matched_keywords
@ICC,"New Zealand skipper Sophie Devine hopes to finish off in style in#CWC25✨
Catch her in action at the World Cup, broadcast details  📺bit.ly/46pHqKcMore 👉icc-cricket.com/tournaments/…","Oct 1, 2025 · 12:30 AM UTC","@sportbuzzlive24, @TahirBijnori, @sakinakhan110, @sakinakhan110, @AMIgo9012",Yes,Relevant,Cricket World Cup 2025,"['world cup', 'cwc', 'cwc25']"
@YogKumarDev,techgadgetyard.blogspot.com/…,"Oct 1, 2025 · 12:30 AM UTC",,No,Irrelevant,None,
@1xBet_in,"👑 All ICC Women’s Cricket World Cup Winners (1973–2022) 👑
Now the question is: Who will be crowned champion in 2025? 🤔🔥
Drop your predictions below 👇","Oct 1, 2025 · 12:21 AM UTC",,Yes,Relevant,Cricket World Cup 2025,"['world cup', 'cricket world cup']"
@ergomeow,Women's Cricket World Cup 2025 Begins!#GoogleDoodledoodles.google/doodle/womens…,"Oct 1, 2025 · 12:02 AM UTC",,Yes,Relevant,Cricket World Cup 2025,"['world cup', 'cricket world cup', 'world cup 2025']"
@TheCricketerMag,"""I'm also at a similar age to the younger girls that have come through, and it's easy, because of that, to build connections.""#CWC25thecricketer.com/Topics/wome…","Sep 30, 2025 · 11:16 PM UTC",,Yes,Relevant,Cricket World Cup 2025,"['cwc', 'cwc25']"
@TheAusToday,"Exiled Afghan women cricketers living in Australia to attend World Cup opener in India 
In March 2025, after receiving The Australia Today International Women’s Day Award in Sports, the Afghan women’s cricket team members were also felicitated by the Indian High Commission in Canberra.
Read more:theaustraliatoday.com.au/exi…@DrAmitSarwal@Pallavi_Aus@HCICanberra@AusHCIndia@narendramodi@AlboMP@BCCI@BCCIWomen@CricketAus@assamcric@rishi_suri@WazhmaAyoubi@JacintaAllanMP@NatHutchins@firoza_amiri","Sep 30, 2025 · 11:06 PM UTC",,Yes,Relevant,Cricket World Cup 2025,"['world cup', 'world cup opener']"
@Thezaurus_,Why Phoebe Litchfield's first ODI World Cup could signal a new era in Australian cricketabc.net.au/news/2025-10-01/p…,"Sep 30, 2025 · 11:03 PM UTC",,Yes,Relevant,Cricket World Cup 2025,['world cup']
@hack1872,"icc-cricket.com/tournaments/…- Good start for the women of#IndianCricketwith their kickoff win in the#WomensCricketWorldCup. I'm rooting for them to win the tournament, something they haven't done in their history.","Sep 30, 2025 · 11:02 PM UTC",,Yes,Relevant,Cricket World Cup 2025,['cricketworldcup']
@TheWesalTV,د افغان ښځینه کرکټ ۱۷ پخوانیو ‌لوبغاړو نن سه شنبه، د ۲۰۲۵ کال د ښځو د نړیوال جام د پرانیستونکې لوبې ننداره وکړه چې د هند او سريلانکا ترمنځ د ګوهاټي په بارساپار کرکټ لوبغالي کې ترسره شوه.wesal.info/ps/2025/10/01/afg…,"Sep 30, 2025 · 10:55 PM UTC",,No,Irrelevant,None,
@TheCricketerMag,"""Sawyer is looking to take their trans-Tasman rivals all the way as New Zealand look to add another global title to the T20 World Cup they won last year"" | ✍️@Womble101#CWC25thecricketer.com/Topics/wome…","Sep 30, 2025 · 10:15 PM UTC",@JohnBowen155203,Yes,Relevant,Cricket World Cup 2025,"['world cup', 'cwc', 'cwc25']"
