head,relation,tail
POST_1,hasHashtag,#cwc25
POST_1,hasKeyword,cwc
POST_1,hasKeyword,cwc25
POST_1,hasKeyword,world cup
POST_1,hasSentiment,sent_neutral
POST_1,isAboutEvent,2025
POST_1,isAboutEvent,Cricket
POST_1,isAboutEvent,Cup
POST_1,isAboutEvent,World
POST_1,mentionsEntity,Catch
POST_1,mentionsEntity,New Zealand
POST_1,mentionsEntity,Sophie Devine
POST_1,mentionsEntity,World Cup
POST_1,mentionsEntity,at the
POST_1,mentionsEntity,broadcast details
POST_1,mentionsEntity,catch her
POST_1,mentionsEntity,devine hopes
POST_1,mentionsEntity,in action
POST_1,mentionsEntity,new zealand
POST_1,mentionsEntity,off in
POST_1,mentionsEntity,skipper sophie
POST_1,mentionsEntity,style in
POST_1,mentionsEntity,to finish
POST_1,mentionsEntity,world cup
POST_1,mentionsUser,amigo9012
POST_1,mentionsUser,sakinakhan110
POST_1,mentionsUser,sportbuzzlive24
POST_1,mentionsUser,tahirbijnori
POST_1,postedAtHour,12
POST_1,postedAtMonth,Oct
POST_1,postedAtYear,2025
POST_10,hasHashtag,#cwc25thecricketer
POST_10,hasKeyword,cwc
POST_10,hasKeyword,cwc25
POST_10,hasKeyword,world cup
POST_10,hasSentiment,sent_neutral
POST_10,isAboutEvent,2025
POST_10,isAboutEvent,Cricket
POST_10,isAboutEvent,Cup
POST_10,isAboutEvent,World
POST_10,mentionsEntity,New Zealand
POST_10,mentionsEntity,Sawyer
POST_10,mentionsEntity,Tasman
POST_10,mentionsEntity,Topics
POST_10,mentionsEntity,World Cup
POST_10,mentionsEntity,add another
POST_10,mentionsEntity,all the
POST_10,mentionsEntity,global title
POST_10,mentionsEntity,last year
POST_10,mentionsEntity,look to
POST_10,mentionsEntity,looking to
POST_10,mentionsEntity,new zealand
POST_10,mentionsEntity,sawyer is
POST_10,mentionsEntity,take their
POST_10,mentionsEntity,tasman rivals
POST_10,mentionsEntity,they won
POST_10,mentionsEntity,to the
POST_10,mentionsEntity,way as
POST_10,mentionsEntity,world cup
POST_10,mentionsUser,johnbowen155203
POST_10,mentionsUser,womble101
POST_10,postedAtHour,10
POST_10,postedAtMonth,Sep
POST_10,postedAtYear,2025
POST_100,hasSentiment,sent_neutral
POST_100,isAboutEvent,None
POST_100,mentionsEntity,Alfonsi Daquigan
POST_100,mentionsEntity,Asia Talent Cup Mandalika
POST_100,mentionsEntity,Filipina
POST_100,mentionsEntity,Pembalap
POST_100,mentionsEntity,alfonsi daquigan
POST_100,mentionsEntity,asia talent
POST_100,mentionsEntity,bukukan kemenangan
POST_100,mentionsEntity,cup mandalika
POST_100,mentionsEntity,ganda di
POST_100,mentionsEntity,pembalap muda
POST_100,postedAtHour,2
POST_100,postedAtMonth,Oct
POST_100,postedAtYear,2025
POST_101,hasKeyword,asia cup
POST_101,hasKeyword,asia cup final
POST_101,hasKeyword,world cup
POST_101,hasNumber,2019
POST_101,hasSentiment,sent_neutral
POST_101,isAboutEvent,Both
POST_101,isAboutEvent,Events
POST_101,mentionsEntity,Asia Cup
POST_101,mentionsEntity,asia cup
POST_101,mentionsEntity,bnane ki
POST_101,mentionsEntity,cup ki
POST_101,mentionsEntity,dal dete
POST_101,mentionsEntity,dekh lete
POST_101,mentionsEntity,final ki
POST_101,mentionsEntity,innings or
POST_101,mentionsEntity,jarurt na
POST_101,mentionsEntity,jra or
POST_101,mentionsEntity,pure asia
POST_101,mentionsEntity,rohit sharma
POST_101,mentionsEntity,toh shayad
POST_101,mentionsEntity,world cup
POST_101,mentionsEntity,ye edit
POST_101,postedAtHour,2
POST_101,postedAtMonth,Oct
POST_101,postedAtYear,2025
POST_102,hasKeyword,world cup
POST_102,hasSentiment,sent_positive
POST_102,isAboutEvent,2025
POST_102,isAboutEvent,Cricket
POST_102,isAboutEvent,Cup
POST_102,isAboutEvent,World
POST_102,mentionsEntity,Allah Subanuthala Blessed Khaafirs
POST_102,mentionsEntity,Champions
POST_102,mentionsEntity,Cricket
POST_102,mentionsEntity,Day Allah
POST_102,mentionsEntity,End
POST_102,mentionsEntity,Every Walk
POST_102,mentionsEntity,Glory Honor
POST_102,mentionsEntity,Hindustanis
POST_102,mentionsEntity,Khaafirs
POST_102,mentionsEntity,Life
POST_102,mentionsEntity,Made
POST_102,mentionsEntity,World Cup
POST_102,mentionsEntity,all three
POST_102,mentionsEntity,allah subanuthala
POST_102,mentionsEntity,allah swt
POST_102,mentionsEntity,and made
POST_102,mentionsEntity,blessed khaafirs
POST_102,mentionsEntity,end of
POST_102,mentionsEntity,glory honor
POST_102,mentionsEntity,hindustanis won
POST_102,mentionsEntity,in cricket
POST_102,mentionsEntity,in every
POST_102,mentionsEntity,khaafirs and
POST_102,mentionsEntity,matches and
POST_102,mentionsEntity,not only
POST_102,mentionsEntity,the day
POST_102,mentionsEntity,them champions
POST_102,mentionsEntity,walk of
POST_102,mentionsEntity,was with
POST_102,mentionsEntity,with the
POST_102,mentionsEntity,world cup
POST_102,mentionsUser,realsahibzad
POST_102,mentionsUser,therealpcbtimesofindia
POST_102,postedAtHour,2
POST_102,postedAtMonth,Oct
POST_102,postedAtYear,2025
POST_103,hasKeyword,asia cup
POST_103,hasSentiment,sent_positive
POST_103,isAboutEvent,2025
POST_103,isAboutEvent,Asia
POST_103,isAboutEvent,Cup
POST_103,mentionsEntity,Abhishek
POST_103,mentionsEntity,Amazing
POST_103,mentionsEntity,Asia Cup
POST_103,mentionsEntity,England
POST_103,mentionsEntity,Lame
POST_103,mentionsEntity,This
POST_103,mentionsEntity,Tilak
POST_103,mentionsEntity,Varun
POST_103,mentionsEntity,With
POST_103,mentionsEntity,a well
POST_103,mentionsEntity,amazing talents
POST_103,mentionsEntity,at the
POST_103,mentionsEntity,cost of
POST_103,mentionsEntity,cup and
POST_103,mentionsEntity,drag us
POST_103,mentionsEntity,due respect
POST_103,mentionsEntity,fought england
POST_103,mentionsEntity,just got
POST_103,mentionsEntity,like abhishek
POST_103,mentionsEntity,players go
POST_103,mentionsEntity,s time
POST_103,mentionsEntity,the senior
POST_103,mentionsEntity,this resistance
POST_103,mentionsEntity,to let
POST_103,mentionsEntity,to roko
POST_103,mentionsEntity,us asia
POST_103,mentionsEntity,will only
POST_103,mentionsEntity,with all
POST_103,mentionsEntity,young talent
POST_103,postedAtHour,2
POST_103,postedAtMonth,Oct
POST_103,postedAtYear,2025
POST_104,hasKeyword,asia cup
POST_104,hasKeyword,asia cup champion
POST_104,hasNumber,2025
POST_104,hasSentiment,sent_positive
POST_104,isAboutEvent,2025
POST_104,isAboutEvent,Asia
POST_104,isAboutEvent,Cup
POST_104,mentionsEntity,Asia
POST_104,mentionsEntity,Who
POST_104,mentionsEntity,cup champions
POST_104,mentionsEntity,the asia
POST_104,mentionsEntity,who are
POST_104,postedAtHour,2
POST_104,postedAtMonth,Oct
POST_104,postedAtYear,2025
POST_105,hasKeyword,asia cup
POST_105,hasSentiment,sent_neutral
POST_105,isAboutEvent,2025
POST_105,isAboutEvent,Asia
POST_105,isAboutEvent,Cup
POST_105,mentionsEntity,Asia
POST_105,mentionsEntity,Gill
POST_105,mentionsEntity,btw what
POST_105,mentionsEntity,do if
POST_105,mentionsEntity,gill fails
POST_105,mentionsEntity,in the
POST_105,mentionsEntity,like asia
POST_105,mentionsEntity,series again
POST_105,mentionsEntity,will they
POST_105,mentionsUser,deepakk76552
POST_105,mentionsUser,vk_fan_forever_
POST_105,postedAtHour,2
POST_105,postedAtMonth,Oct
POST_105,postedAtYear,2025
POST_106,hasKeyword,asia cup
POST_106,hasSentiment,sent_neutral
POST_106,isAboutEvent,2025
POST_106,isAboutEvent,Asia
POST_106,isAboutEvent,Cup
POST_106,mentionsEntity,Asia
POST_106,mentionsEntity,Bache
POST_106,mentionsEntity,Kisi
POST_106,mentionsEntity,Mt
POST_106,mentionsEntity,asia cup
POST_106,mentionsEntity,bol b
POST_106,mentionsEntity,har gaye
POST_106,mentionsEntity,isi ki
POST_106,mentionsEntity,k bache
POST_106,mentionsEntity,ka final
POST_106,mentionsEntity,kisi ko
POST_106,mentionsEntity,mt dio
POST_106,mentionsEntity,waja se
POST_106,postedAtHour,2
POST_106,postedAtMonth,Oct
POST_106,postedAtYear,2025
POST_107,hasKeyword,asia cup
POST_107,hasNumber,160
POST_107,hasNumber,19
POST_107,hasNumber,42
POST_107,hasSentiment,sent_neutral
POST_107,isAboutEvent,2025
POST_107,isAboutEvent,Asia
POST_107,isAboutEvent,Cup
POST_107,mentionsEntity,Asia
POST_107,mentionsEntity,Doctor
POST_107,mentionsEntity,He
POST_107,mentionsEntity,India
POST_107,mentionsEntity,accommodate as
POST_107,mentionsEntity,against india
POST_107,mentionsEntity,asia cup
POST_107,mentionsEntity,but he
POST_107,mentionsEntity,but misbah
POST_107,mentionsEntity,doctor lawyer
POST_107,mentionsEntity,domestic season
POST_107,mentionsEntity,dropped shahzaib
POST_107,mentionsEntity,even they
POST_107,mentionsEntity,every number
POST_107,mentionsEntity,example front
POST_107,mentionsEntity,he played
POST_107,mentionsEntity,he was
POST_107,mentionsEntity,just to
POST_107,mentionsEntity,last year
POST_107,mentionsEntity,needs degree
POST_107,mentionsEntity,number junior
POST_107,mentionsEntity,odds runs
POST_107,mentionsEntity,of us
POST_107,mentionsEntity,s son
POST_107,mentionsEntity,uae for
POST_107,mentionsEntity,went to
POST_107,mentionsEntity,who even
POST_107,postedAtHour,1
POST_107,postedAtMonth,Oct
POST_107,postedAtYear,2025
POST_108,hasKeyword,asia cup
POST_108,hasNumber,2023
POST_108,hasSentiment,sent_neutral
POST_108,isAboutEvent,2025
POST_108,isAboutEvent,Asia
POST_108,isAboutEvent,Cup
POST_108,mentionsEntity,Asia Cup
POST_108,mentionsEntity,Pakistan
POST_108,mentionsEntity,Zimbabwe
POST_108,mentionsEntity,and an
POST_108,mentionsEntity,asia cup
POST_108,mentionsEntity,chor chief
POST_108,mentionsEntity,had to
POST_108,mentionsEntity,in cricket
POST_108,mentionsEntity,in the
POST_108,mentionsEntity,it was
POST_108,mentionsEntity,one loss
POST_108,mentionsEntity,pakistan achieved
POST_108,mentionsEntity,that ur
POST_108,mentionsEntity,wc finals
POST_108,mentionsEntity,what has
POST_108,mentionsEntity,wins against
POST_108,postedAtHour,1
POST_108,postedAtMonth,Oct
POST_108,postedAtYear,2025
POST_109,hasKeyword,asia cup
POST_109,hasKeyword,cricketworldcup
POST_109,hasKeyword,world cup
POST_109,hasSentiment,sent_neutral
POST_109,isAboutEvent,Both
POST_109,isAboutEvent,Events
POST_109,mentionsEntity,World
POST_109,mentionsEntity,a heeramandi
POST_109,mentionsEntity,ab randion
POST_109,mentionsEntity,cricketworldcupporkisthan send
POST_109,mentionsEntity,cup all
POST_109,mentionsEntity,cup asia
POST_109,mentionsEntity,heeraandi bhej
POST_109,mentionsEntity,izron ki
POST_109,mentionsEntity,ke bari
POST_109,mentionsEntity,ke randion
POST_109,mentionsEntity,ke team
POST_109,mentionsEntity,phouz bheja
POST_109,mentionsEntity,sab ko
POST_109,mentionsEntity,to world
POST_109,mentionsUser,cricketworldcupporkisthan
POST_109,postedAtHour,1
POST_109,postedAtMonth,Oct
POST_109,postedAtYear,2025
POST_11,hasKeyword,cricket world cup
POST_11,hasKeyword,world cup
POST_11,hasKeyword,world cup 2025
POST_11,hasNumber,2025
POST_11,hasSentiment,sent_neutral
POST_11,isAboutEvent,2025
POST_11,isAboutEvent,Cricket
POST_11,isAboutEvent,Cup
POST_11,isAboutEvent,World
POST_11,mentionsEntity,Assam
POST_11,mentionsEntity,Cricket World Cup
POST_11,mentionsEntity,Guwahati
POST_11,mentionsEntity,Shreya Ghoshal
POST_11,mentionsEntity,The
POST_11,mentionsEntity,Welcome
POST_11,mentionsEntity,Women
POST_11,mentionsEntity,Your
POST_11,mentionsEntity,added magic
POST_11,mentionsEntity,always touches
POST_11,mentionsEntity,are overjoyed
POST_11,mentionsEntity,has truly
POST_11,mentionsEntity,of assam
POST_11,mentionsEntity,our hearts
POST_11,mentionsEntity,performance at
POST_11,mentionsEntity,s cricket
POST_11,mentionsEntity,shreya ghoshal
POST_11,mentionsEntity,the icc
POST_11,mentionsEntity,the people
POST_11,mentionsEntity,to have
POST_11,mentionsEntity,to the
POST_11,mentionsEntity,welcome to
POST_11,mentionsEntity,world cup
POST_11,mentionsEntity,you here
POST_11,mentionsEntity,your enchanting
POST_11,mentionsEntity,your voice
POST_11,postedAtHour,10
POST_11,postedAtMonth,Sep
POST_11,postedAtYear,2025
